Epoch,Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE,Train_MSE,Val_MSE,Train_MAPE,Val_MAPE,LR,Time_s
1,8.3299,18.8016,2.2797,3.3152,2.7969,4.3095,8.3299,18.8016,133.94,271.67,0.000976,156.7
2,4.133,12.3973,1.6032,2.5138,1.9734,3.4874,4.133,12.3973,97.29,199.4,0.000905,159.4
3,2.6467,11.9912,1.1906,2.1195,1.5688,3.4251,2.6467,11.9912,76.79,75.96,0.000794,165.1
4,1.8046,7.8539,0.9057,1.7491,1.2313,2.7767,1.8046,7.8539,56.15,77.57,0.000655,159.6
5,1.0418,6.1589,0.7279,1.489,0.9667,2.4282,1.0418,6.1589,42.85,73.68,0.0005,162.8
6,1.7282,2.8411,0.9466,1.0143,1.2516,1.6304,1.7282,2.8411,56.62,54.81,0.000345,156.4
7,1.2451,4.1063,0.7401,1.2103,1.0176,1.9824,1.2451,4.1063,50.83,101.33,0.000206,158.0
8,0.9973,2.8207,0.7115,0.9703,0.9805,1.6209,0.9973,2.8207,46.92,62.21,9.5e-05,164.4
9,0.9463,1.9917,0.7307,0.8308,0.9474,1.3547,0.9463,1.9917,46.26,49.16,2.4e-05,157.8
10,0.8088,1.8331,0.6366,0.7854,0.8828,1.2934,0.8088,1.8331,37.23,48.39,0.001,160.8
11,1.1538,3.0648,0.7527,1.0643,1.0454,1.7181,1.1538,3.0648,44.3,51.99,0.000994,156.0
12,1.2825,3.8963,0.8241,1.1831,1.1027,1.9476,1.2825,3.8963,59.34,53.79,0.000976,151.6
13,0.9134,1.4987,0.698,0.8405,0.9338,1.1956,0.9134,1.4987,43.83,60.9,0.000946,160.3
14,0.8719,0.8936,0.6874,0.7023,0.8861,0.9253,0.8719,0.8936,44.78,72.79,0.000905,158.1
15,1.0565,0.6068,0.742,0.5247,0.9851,0.778,1.0565,0.6068,56.26,76.11,0.000854,165.7
16,1.0798,0.488,0.7407,0.5148,0.9806,0.6761,1.0798,0.488,48.02,60.61,0.000794,164.4
17,0.7502,0.5309,0.6196,0.4952,0.8085,0.7046,0.7502,0.5309,41.68,50.86,0.000727,166.8
18,0.6953,1.5414,0.6406,0.8021,0.8187,1.2305,0.6953,1.5414,46.24,74.27,0.000655,171.9
19,0.6462,2.3186,0.5738,0.8543,0.7346,1.5102,0.6462,2.3186,37.79,28.54,0.000578,175.3
20,0.8029,0.5692,0.6155,0.6584,0.7955,0.7542,0.8029,0.5692,49.65,103.53,0.0005,166.4
21,0.7986,1.3317,0.6468,0.7363,0.8755,1.1315,0.7986,1.3317,41.63,50.38,0.000422,166.5
22,0.7697,1.225,0.6431,0.6147,0.8328,1.0818,0.7697,1.225,43.68,25.2,0.000345,170.8
23,0.9394,1.1299,0.6635,0.5707,0.8527,1.0436,0.9394,1.1299,36.45,20.47,0.000273,152.6
24,0.6821,0.7943,0.6174,0.4992,0.7729,0.8701,0.6821,0.7943,41.67,42.05,0.000206,152.3
25,0.795,0.1969,0.6496,0.2888,0.8337,0.4292,0.795,0.1969,38.65,16.83,0.000146,150.1
26,0.526,0.3792,0.4949,0.3415,0.693,0.5918,0.526,0.3792,33.31,16.8,9.5e-05,163.5
27,0.8313,0.4396,0.6543,0.3579,0.8434,0.6383,0.8313,0.4396,38.7,15.77,5.4e-05,181.8
28,0.6534,0.4447,0.571,0.3689,0.7629,0.6433,0.6534,0.4447,37.66,17.46,2.4e-05,162.4
29,0.672,0.4699,0.6128,0.3684,0.7908,0.6567,0.672,0.4699,37.59,16.56,6e-06,166.4
30,0.6439,0.576,0.5607,0.3936,0.7429,0.7318,0.6439,0.576,39.79,15.61,0.001,158.8
31,0.7101,0.9796,0.6223,0.589,0.8251,0.9718,0.7101,0.9796,43.21,25.48,0.000998,162.9
32,0.676,0.3497,0.6424,0.3527,0.7941,0.5548,0.676,0.3497,47.19,21.22,0.000994,160.6
33,0.5999,0.5957,0.5595,0.4618,0.7502,0.7327,0.5999,0.5957,38.77,17.21,0.000986,163.6
34,0.9679,2.4725,0.7166,1.1091,0.8992,1.5482,0.9679,2.4725,52.04,76.52,0.000976,162.8
35,0.7723,1.0594,0.668,0.7366,0.8597,1.0225,0.7723,1.0594,46.02,65.47,0.000962,166.9
36,0.5486,0.3107,0.5592,0.4529,0.7201,0.55,0.5486,0.3107,38.1,50.34,0.000946,147.1
37,0.6704,0.0819,0.5755,0.2278,0.7806,0.2819,0.6704,0.0819,38.16,27.12,0.000926,151.4
38,0.5769,1.9027,0.556,0.9041,0.7202,1.3713,0.5769,1.9027,36.92,68.15,0.000905,147.4
39,0.7655,2.2781,0.6191,1.0156,0.8417,1.5093,0.7655,2.2781,35.51,62.45,0.00088,141.9
40,0.4837,0.2646,0.5275,0.3759,0.6692,0.5087,0.4837,0.2646,35.03,25.19,0.000854,145.5
41,0.5926,0.1417,0.5306,0.2511,0.7242,0.3754,0.5926,0.1417,33.92,33.13,0.000825,137.4
42,0.5373,0.2492,0.5375,0.3706,0.6999,0.4911,0.5373,0.2492,36.91,40.2,0.000794,139.3
43,0.3959,0.683,0.4613,0.5039,0.6085,0.8055,0.3959,0.683,29.72,21.97,0.000761,122.8
44,0.7167,1.0284,0.6159,0.6478,0.807,0.9897,0.7167,1.0284,35.78,43.34,0.000727,133.6
45,0.7151,0.5667,0.5434,0.5474,0.7633,0.747,0.7151,0.5667,30.12,48.69,0.000691,137.1
