Epoch,Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE,Train_MSE,Val_MSE,Train_MAPE,Val_MAPE,LR,Time_s
1,6.771,8.7633,1.9505,2.5489,2.516,2.9464,6.771,8.7633,125.85,449.03,0.000976,183.7
2,4.1399,8.4607,1.6518,2.2704,1.9896,2.8853,4.1399,8.4607,163.86,347.21,0.000905,121.0
3,4.2418,8.4528,1.622,2.4474,2.0289,2.8906,4.2418,8.4528,145.32,417.01,0.000794,112.1
4,4.465,8.2389,1.6223,2.2534,2.0637,2.8465,4.465,8.2389,139.99,344.63,0.000655,115.2
5,3.814,6.3927,1.5706,1.5563,1.939,2.4793,3.814,6.3927,145.31,125.72,0.0005,119.0
6,2.3483,9.5484,1.0715,1.6728,1.5053,2.958,2.3483,9.5484,56.96,50.8,0.000345,117.9
7,3.6134,6.3569,1.4433,1.8337,1.8356,2.4859,3.6134,6.3569,123.56,171.83,0.000206,114.8
8,2.5581,5.4649,1.169,1.5275,1.5798,2.3007,2.5581,5.4649,79.46,101.84,9.5e-05,128.2
9,2.4164,5.7322,1.1618,1.613,1.5224,2.3758,2.4164,5.7322,68.91,102.55,2.4e-05,176.6
10,1.9861,5.7707,1.0011,1.4995,1.3891,2.3149,1.9861,5.7707,55.91,78.1,0.001,133.6
11,2.6222,5.4046,1.1478,1.9154,1.5799,2.3111,2.6222,5.4046,64.78,205.37,0.000994,192.5
12,4.6308,5.7736,1.6625,1.909,2.0987,2.3742,4.6308,5.7736,125.6,278.47,0.000976,216.0
13,2.9569,5.5384,1.2681,1.618,1.6709,2.3194,2.9569,5.5384,77.44,134.0,0.000946,228.0
14,3.3945,6.5097,1.3296,1.5319,1.7545,2.5085,3.3945,6.5097,81.91,92.65,0.000905,176.8
15,2.9478,5.8797,1.3232,1.7048,1.6273,2.384,2.9478,5.8797,100.8,213.93,0.000854,194.5
16,3.2776,5.5724,1.2682,1.7252,1.7391,2.3309,3.2776,5.5724,65.55,174.66,0.000794,218.2
17,2.4696,5.9116,1.1633,1.4909,1.5461,2.3727,2.4696,5.9116,81.52,88.49,0.000727,206.2
18,2.7346,6.6183,1.2284,1.5733,1.5865,2.5156,2.7346,6.6183,86.04,109.03,0.000655,210.5
19,1.7762,4.6262,0.9385,1.533,1.2836,2.1207,1.7762,4.6262,61.11,110.45,0.000578,212.5
20,2.8317,8.3451,1.2368,1.5685,1.648,2.8053,2.8317,8.3451,85.21,65.94,0.0005,185.4
21,2.985,4.7841,1.2441,1.3598,1.7028,2.1166,2.985,4.7841,77.77,67.79,0.000422,195.5
