Epoch,Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE,Train_MSE,Val_MSE,Train_MAPE,Val_MAPE,LR,Time_s
1,11.4279,23.403,2.7526,3.9275,3.3347,4.8153,11.4279,23.403,136.52,369.26,0.000976,119.5
2,7.8201,21.8181,2.5435,3.8051,2.7477,4.6469,7.8201,21.8181,191.65,374.77,0.000905,115.6
3,5.6669,5.4373,2.1289,2.0651,2.3404,2.304,5.6669,5.4373,161.4,250.3,0.000794,116.8
4,4.1523,2.5072,1.7879,1.3379,1.9867,1.5826,4.1523,2.5072,141.15,177.18,0.000655,119.9
5,3.0668,2.2439,1.5054,1.2139,1.6942,1.4934,3.0668,2.2439,110.92,92.93,0.0005,119.8
6,2.505,0.8404,1.2936,0.6861,1.5122,0.9026,2.505,0.8404,83.41,64.32,0.000345,120.5
7,1.7909,1.3819,1.0806,0.9369,1.2806,1.1753,1.7909,1.3819,71.56,81.51,0.000206,120.9
8,1.6841,2.5747,1.0433,1.2173,1.2212,1.6001,1.6841,2.5747,71.45,106.81,9.5e-05,124.1
9,1.5349,3.5346,0.9716,1.3948,1.166,1.8759,1.5349,3.5346,60.83,113.27,2.4e-05,116.2
10,1.6851,3.179,1.0143,1.3299,1.2515,1.7713,1.6851,3.179,65.18,112.03,0.001,118.4
11,1.1809,0.7109,0.8744,0.7187,1.0455,0.8341,1.1809,0.7109,63.94,87.29,0.000994,113.2
12,1.2319,1.6609,0.7635,0.939,1.0308,1.2723,1.2319,1.6609,42.84,78.59,0.000976,106.9
13,0.8505,16.6931,0.7116,3.1664,0.903,4.0503,0.8505,16.6931,44.44,221.07,0.000946,115.7
14,1.4007,6.1268,0.8047,1.8215,1.1377,2.4752,1.4007,6.1268,45.92,110.26,0.000905,107.6
15,1.1151,1.1558,0.7443,0.6962,1.0274,1.0744,1.1151,1.1558,42.86,48.51,0.000854,108.6
16,0.983,2.1321,0.7148,1.1609,0.9502,1.4599,0.983,2.1321,48.85,86.05,0.000794,113.3
17,0.9414,0.3097,0.6551,0.4479,0.925,0.5565,0.9414,0.3097,38.44,39.88,0.000727,108.6
18,0.6594,0.2739,0.603,0.3335,0.7766,0.4902,0.6594,0.2739,42.27,34.38,0.000655,101.9
19,0.8278,0.4505,0.7057,0.4796,0.8967,0.6593,0.8278,0.4505,44.43,49.61,0.000578,109.9
20,1.0308,0.443,0.7244,0.5179,0.9721,0.6645,1.0308,0.443,38.87,42.96,0.0005,111.3
21,1.1442,0.6615,0.7273,0.5745,0.9966,0.8133,1.1442,0.6615,38.73,44.62,0.000422,116.0
22,0.7651,0.3558,0.622,0.3988,0.8384,0.5671,0.7651,0.3558,31.98,21.31,0.000345,118.3
23,0.8639,1.1441,0.6848,0.629,0.9071,1.0567,0.8639,1.1441,40.84,22.88,0.000273,125.1
24,0.6489,0.2286,0.5988,0.3331,0.785,0.4546,0.6489,0.2286,40.5,28.04,0.000206,114.5
25,0.9133,0.2734,0.6259,0.3967,0.9129,0.5122,0.9133,0.2734,34.66,36.58,0.000146,116.7
26,0.9586,0.4451,0.7171,0.4695,0.9412,0.653,0.9586,0.4451,39.64,36.64,9.5e-05,113.8
27,0.7076,0.7344,0.5879,0.5407,0.784,0.8431,0.7076,0.7344,35.43,27.58,5.4e-05,120.1
28,0.5194,0.8037,0.5218,0.5471,0.6894,0.869,0.5194,0.8037,31.12,28.02,2.4e-05,129.3
29,0.9636,0.7424,0.6621,0.5322,0.8902,0.8583,0.9636,0.7424,36.9,25.02,6e-06,128.2
30,0.7089,0.714,0.6117,0.5135,0.8017,0.8105,0.7089,0.714,32.19,25.29,0.001,139.8
31,1.3693,0.7732,0.7766,0.5773,1.1023,0.8788,1.3693,0.7732,38.48,38.75,0.000998,120.5
32,1.6024,5.6261,0.8604,1.41,1.1968,2.3187,1.6024,5.6261,46.82,69.17,0.000994,121.9
33,1.6163,1.217,0.849,0.8344,1.1917,1.1029,1.6163,1.217,55.32,68.75,0.000986,121.0
34,1.2449,1.2137,0.726,0.834,1.0121,1.0957,1.2449,1.2137,41.59,60.96,0.000976,116.3
35,0.7805,28.3812,0.6258,4.0275,0.854,5.3244,0.7805,28.3812,34.24,192.17,0.000962,109.4
36,1.2019,6.9874,0.7612,2.0242,1.0621,2.6433,1.2019,6.9874,39.31,102.62,0.000946,112.4
37,0.4679,0.2593,0.5179,0.3548,0.6766,0.5046,0.4679,0.2593,30.35,43.68,0.000926,113.1
