Epoch,Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE,Train_MSE,Val_MSE,Train_MAPE,Val_MAPE,LR,Time_s
1,8.7813,18.8312,2.3233,3.2789,2.8961,4.3127,8.7813,18.8312,118.93,253.67,0.000976,134.5
2,3.9952,13.5938,1.5407,2.2633,1.9443,3.6541,3.9952,13.5938,89.25,80.13,0.000905,123.5
3,1.9176,7.9069,1.0446,1.9604,1.3488,2.7886,1.9176,7.9069,60.04,256.59,0.000794,124.3
4,2.0879,6.5642,1.1336,1.7199,1.427,2.5353,2.0879,6.5642,97.82,196.2,0.000655,338.4
5,1.795,4.3906,0.9909,1.303,1.3109,2.0522,1.795,4.3906,73.22,91.38,0.0005,129.6
6,1.6035,3.8864,0.8869,1.1495,1.2306,1.9353,1.6035,3.8864,56.26,49.74,0.000345,129.6
7,1.7186,3.6686,0.9297,1.2311,1.2693,1.8741,1.7186,3.6686,52.96,50.38,0.000206,130.1
8,1.653,4.0578,0.8689,1.2006,1.2316,1.9838,1.653,4.0578,43.72,48.71,9.5e-05,134.0
9,1.4193,3.0189,0.7809,1.0703,1.1283,1.7076,1.4193,3.0189,39.69,51.85,2.4e-05,135.7
10,1.1592,2.5037,0.7356,0.9692,1.0199,1.5522,1.1592,2.5037,40.33,50.01,0.001,138.4
11,1.1911,5.356,0.8066,1.3519,1.0841,2.2809,1.1911,5.356,51.5,74.59,0.000994,149.1
12,1.4433,5.5866,0.8202,1.4118,1.1404,2.355,1.4433,5.5866,46.41,86.82,0.000976,147.3
13,1.4374,2.3938,0.7968,0.9416,1.1324,1.4976,1.4374,2.3938,41.83,47.78,0.000946,271.8
14,1.5301,6.3567,0.8412,1.4258,1.1282,2.4966,1.5301,6.3567,42.53,71.91,0.000905,141.2
15,1.2907,4.6956,0.7991,1.2421,1.1236,2.1552,1.2907,4.6956,45.56,48.33,0.000854,123.9
16,1.0586,7.2679,0.7592,1.5115,0.9994,2.6709,1.0586,7.2679,47.95,86.64,0.000794,131.8
17,1.2277,1.0066,0.7528,0.6578,1.0806,1.0032,1.2277,1.0066,38.07,50.15,0.000727,129.8
18,1.0156,3.3172,0.703,1.0681,0.9928,1.7839,1.0156,3.3172,36.25,64.92,0.000655,122.4
19,1.0325,1.2562,0.7123,0.7908,0.9869,1.1207,1.0325,1.2562,37.81,66.0,0.000578,119.4
20,0.82,0.2646,0.6026,0.3944,0.8814,0.5099,0.82,0.2646,32.06,56.03,0.0005,126.4
21,1.2255,1.02,0.8039,0.7514,1.043,1.0092,1.2255,1.02,40.71,61.01,0.000422,127.5
22,0.7961,0.3709,0.6354,0.4913,0.8609,0.6076,0.7961,0.3709,38.4,66.68,0.000345,137.8
23,1.0276,0.6652,0.691,0.5743,0.922,0.8102,1.0276,0.6652,35.21,46.92,0.000273,135.9
24,1.0075,2.5776,0.7361,0.9111,0.9726,1.5894,1.0075,2.5776,38.52,45.15,0.000206,142.8
25,0.4642,1.3259,0.4903,0.725,0.6361,1.1416,0.4642,1.3259,31.91,41.36,0.000146,130.5
26,0.7835,1.5688,0.6376,0.7931,0.8543,1.241,0.7835,1.5688,35.04,47.97,9.5e-05,119.9
27,1.228,1.0513,0.686,0.6743,0.9994,1.0172,1.228,1.0513,35.63,48.22,5.4e-05,123.2
28,0.9163,0.8278,0.633,0.5876,0.8938,0.8921,0.9163,0.8278,34.18,46.0,2.4e-05,121.2
29,0.8958,0.6321,0.6415,0.5466,0.8953,0.78,0.8958,0.6321,35.55,45.13,6e-06,121.7
30,0.9495,0.8543,0.6409,0.6208,0.912,0.9114,0.9495,0.8543,35.01,47.47,0.001,124.2
31,0.796,0.7114,0.6141,0.5988,0.8212,0.8304,0.796,0.7114,34.57,54.07,0.000998,184.8
32,1.0051,0.3487,0.6486,0.4579,0.9574,0.5905,1.0051,0.3487,40.4,46.88,0.000994,182.8
33,0.8825,3.1087,0.6525,1.0531,0.919,1.7406,0.8825,3.1087,40.37,52.92,0.000986,165.6
34,1.5387,7.2368,0.8069,1.5018,1.1482,2.6661,1.5387,7.2368,40.58,66.16,0.000976,178.3
35,1.208,6.2106,0.7269,1.4632,1.0454,2.4723,1.208,6.2106,40.65,58.99,0.000962,190.0
36,0.9996,5.159,0.7327,1.2655,0.9831,2.2574,0.9996,5.159,35.31,50.95,0.000946,181.7
37,1.4009,4.3208,0.7764,1.1999,1.1344,2.0412,1.4009,4.3208,45.68,72.2,0.000926,183.3
38,1.0475,5.678,0.7236,1.4328,0.9502,2.3656,1.0475,5.678,46.95,103.11,0.000905,189.8
39,0.9976,3.5659,0.7388,1.0309,0.977,1.8549,0.9976,3.5659,36.44,48.23,0.00088,164.7
40,1.0782,2.5773,0.6891,0.9661,0.9444,1.6037,1.0782,2.5773,34.96,47.78,0.000854,185.4
