Epoch,Train_Loss,Val_Loss,Train_MAE,Val_MAE,Train_RMSE,Val_RMSE,Train_MSE,Val_MSE,Train_MAPE,Val_MAPE,LR,Time_s
1,9.8941,14.9215,2.333,2.5358,2.8134,3.8628,9.8941,14.9215,101.91,110.23,0.000976,133.5
2,10.4322,15.027,2.3819,2.5565,2.8889,3.8765,10.4322,15.027,110.04,113.84,0.000905,128.7
3,9.7824,15.1457,2.278,2.5796,2.7975,3.8917,9.7824,15.1457,102.43,117.87,0.000794,138.8
4,9.4247,14.2358,2.2016,2.3972,2.7459,3.773,9.4247,14.2358,102.06,86.14,0.000655,136.1
5,8.4521,12.3757,2.3085,2.0924,2.6003,3.5179,8.4521,12.3757,170.8,85.32,0.0005,134.8
6,8.455,10.8103,2.2968,1.9612,2.6008,3.2879,8.455,10.8103,173.6,131.79,0.000345,137.2
7,7.6943,9.6235,2.2079,1.9528,2.481,3.1022,7.6943,9.6235,166.85,193.49,0.000206,151.2
8,7.393,8.9418,2.1417,2.0423,2.432,2.9903,7.393,8.9418,169.77,253.31,9.5e-05,141.2
9,7.4202,8.5822,2.1513,2.1865,2.4364,2.9295,7.4202,8.5822,164.73,312.09,2.4e-05,146.4
10,6.5348,8.4864,1.9984,2.3111,2.2865,2.9131,6.5348,8.4864,157.16,362.64,0.001,120.7
11,7.1854,8.6927,2.1271,2.5151,2.3976,2.9483,7.1854,8.6927,173.29,437.99,0.000994,125.9
12,6.5836,9.2874,2.059,2.7347,2.295,3.0475,6.5836,9.2874,143.35,510.89,0.000976,141.4
13,5.1488,10.7345,1.8107,3.0424,2.0295,3.2764,5.1488,10.7345,127.63,611.82,0.000946,133.9
14,5.3255,12.8102,1.8314,3.3901,2.0641,3.5791,5.3255,12.8102,127.21,709.49,0.000905,136.2
15,4.7212,15.6259,1.724,3.7451,1.9434,3.953,4.7212,15.6259,142.65,809.69,0.000854,132.6
16,4.0263,17.9186,1.5995,3.9944,1.7947,4.233,4.0263,17.9186,141.26,877.22,0.000794,135.9
17,4.1989,19.1703,1.5573,4.1329,1.8328,4.3784,4.1989,19.1703,133.81,910.77,0.000727,140.2
18,3.778,20.1284,1.5424,4.2331,1.7385,4.4865,3.778,20.1284,125.03,935.34,0.000655,141.9
19,3.2662,20.7117,1.4079,4.2917,1.6165,4.551,3.2662,20.7117,104.94,949.61,0.000578,142.8
20,3.2509,21.1922,1.3799,4.3396,1.6127,4.6035,3.2509,21.1922,101.54,961.38,0.0005,143.5
