filename,volume_m3
sample_0000.las,7.531572
sample_0001.las,0.591013
sample_0002.las,7.420727
sample_0003.las,1.109444
sample_0004.las,0.210711
sample_0005.las,0.894187
sample_0006.las,2.026938
sample_0007.las,3.072415
sample_0008.las,4.499322
sample_0009.las,0.736026
sample_0010.las,6.354148
sample_0011.las,0.770035
sample_0012.las,0.667250
sample_0013.las,3.296105
sample_0014.las,0.499035
sample_0015.las,0.899421
sample_0016.las,1.608077
sample_0017.las,0.635924
sample_0018.las,5.714375
sample_0019.las,2.571499
sample_0020.las,0.523549
sample_0021.las,0.195679
sample_0022.las,0.403235
sample_0023.las,2.471005
sample_0024.las,0.433223
sample_0025.las,3.905692
sample_0026.las,0.566903
sample_0027.las,7.499291
sample_0028.las,1.017514
sample_0029.las,2.432285
sample_0030.las,0.259265
sample_0031.las,7.208363
sample_0032.las,6.221385
sample_0033.las,1.006831
sample_0034.las,0.631312
sample_0035.las,2.927865
sample_0036.las,3.631526
sample_0037.las,0.316916
sample_0038.las,1.137458
sample_0039.las,1.607793
sample_0040.las,5.778763
sample_0041.las,3.564814
sample_0042.las,0.529796
sample_0043.las,2.249620
sample_0044.las,2.908199
sample_0045.las,1.735742
sample_0046.las,3.460461
sample_0047.las,0.557563
sample_0048.las,3.309659
sample_0049.las,2.989505
sample_0050.las,1.318112
sample_0051.las,3.642741
sample_0052.las,2.312990
sample_0053.las,0.213550
sample_0054.las,0.926835
sample_0055.las,1.766888
sample_0056.las,0.406363
sample_0057.las,2.650874
sample_0058.las,1.319472
sample_0059.las,1.928111
sample_0060.las,4.346477
sample_0061.las,0.578927
sample_0062.las,0.562761
sample_0063.las,0.760934
sample_0064.las,1.473702
sample_0065.las,0.544548
sample_0066.las,0.507004
sample_0067.las,0.171556
sample_0068.las,5.191136
sample_0069.las,6.192297
sample_0070.las,5.960152
sample_0071.las,5.456018
sample_0072.las,3.436812
sample_0073.las,4.990221
sample_0074.las,1.121440
sample_0075.las,5.815036
sample_0076.las,1.825021
sample_0077.las,0.428322
sample_0078.las,1.732131
sample_0079.las,1.882932
sample_0080.las,4.654473
sample_0081.las,1.829989
sample_0082.las,1.178756
sample_0083.las,0.243441
sample_0084.las,0.366636
sample_0085.las,4.441220
sample_0086.las,1.588896
sample_0087.las,1.844711
sample_0088.las,2.078677
sample_0089.las,0.511428
sample_0090.las,3.865119
sample_0091.las,0.355381
sample_0092.las,0.529285
sample_0093.las,3.924503
sample_0094.las,0.265847
sample_0095.las,1.160229
sample_0096.las,2.164533
sample_0097.las,0.790583
sample_0098.las,2.954368
sample_0099.las,6.823317
sample_0100.las,0.406008
sample_0101.las,6.626398
sample_0102.las,0.817827
sample_0103.las,2.585863
sample_0104.las,0.739951
sample_0105.las,0.843537
sample_0106.las,1.851876
sample_0107.las,6.014158
sample_0108.las,2.112824
sample_0109.las,2.216543
sample_0110.las,1.800559
sample_0111.las,1.003789
sample_0112.las,1.448189
sample_0113.las,2.886006
sample_0114.las,4.638815
sample_0115.las,0.132259
sample_0116.las,2.791439
sample_0117.las,1.753316
sample_0118.las,1.311488
sample_0119.las,3.376968
sample_0120.las,1.344512
sample_0121.las,4.902360
sample_0122.las,1.101705
sample_0123.las,1.484975
sample_0124.las,1.534619
sample_0125.las,5.452268
sample_0126.las,5.162680
sample_0127.las,4.200245
sample_0128.las,0.411405
sample_0129.las,0.830674
sample_0130.las,1.581183
sample_0131.las,1.538713
sample_0132.las,2.722777
sample_0133.las,1.300220
sample_0134.las,3.812776
sample_0135.las,10.020778
sample_0136.las,5.109665
sample_0137.las,4.006698
sample_0138.las,3.870521
sample_0139.las,5.311453
sample_0140.las,3.704670
sample_0141.las,5.837708
sample_0142.las,1.597154
sample_0143.las,3.860082
sample_0144.las,0.603964
sample_0145.las,2.903125
sample_0146.las,5.939336
sample_0147.las,4.131651
sample_0148.las,7.693204
sample_0149.las,1.603980
sample_0150.las,1.522279
sample_0151.las,0.330458
sample_0152.las,0.700814
sample_0153.las,0.974068
sample_0154.las,1.296155
sample_0155.las,3.292355
sample_0156.las,1.058891
sample_0157.las,11.059159
sample_0158.las,8.170709
sample_0159.las,4.977850
sample_0160.las,0.667120
sample_0161.las,1.996693
sample_0162.las,1.876886
sample_0163.las,2.399953
sample_0164.las,1.268534
sample_0165.las,10.711832
sample_0166.las,1.401308
sample_0167.las,2.715837
sample_0168.las,0.878966
sample_0169.las,5.275844
sample_0170.las,0.398619
sample_0171.las,4.607515
sample_0172.las,3.092386
sample_0173.las,0.471533
sample_0174.las,4.019894
sample_0175.las,2.167377
sample_0176.las,0.492496
sample_0177.las,0.890288
sample_0178.las,1.680599
sample_0179.las,1.045142
sample_0180.las,0.644682
sample_0181.las,2.074572
sample_0182.las,0.124794
sample_0183.las,6.229592
sample_0184.las,4.999971
sample_0185.las,2.695412
sample_0186.las,0.402179
sample_0187.las,2.447667
sample_0188.las,1.072402
sample_0189.las,1.423406
sample_0190.las,1.576651
sample_0191.las,2.178792
sample_0192.las,2.171204
sample_0193.las,0.117557
sample_0194.las,3.844971
sample_0195.las,2.055582
sample_0196.las,0.750307
sample_0197.las,4.185761
sample_0198.las,2.273200
sample_0199.las,0.920008
